,name,total_time,n_calls,avg_time,category
54,run_training_epoch,207.744,1,207.744,run_training_epoch
50,run_training_batch,206.1647,200,1.03082,run_training_batch
34,[_TrainingEpochLoop].train_dataloader_next,0.02895,200,0.00014,_TrainingEpochLoop
15,[_EvaluationLoop].val_next,0.88282,6,0.14714,_EvaluationLoop
37,[Strategy]DDPGroupStrategy.training_step,55.46648,200,0.27733,Strategy
45,[Strategy]DDPGroupStrategy.backward,147.53434,200,0.73767,Strategy
17,[Strategy]DDPGroupStrategy.batch_to_device,0.96327,206,0.00468,Strategy
20,[Strategy]DDPGroupStrategy.validation_step,2.38436,6,0.39739,Strategy
40,[LightningModule]GraphForecaster.optimizer_zero_grad,0.3548,200,0.00177,LightningModule
49,[LightningModule]GraphForecaster.optimizer_step,205.83994,200,1.0292,LightningModule
48,[LightningModule]GraphForecaster.configure_gradient_clipping,0.13424,200,0.00067,LightningModule
51,[LightningModule]GraphForecaster.lr_scheduler_step,0.00473,200,2e-05,LightningModule
3,[LightningModule]GraphForecaster.setup,2e-05,1,2e-05,LightningModule
16,[LightningModule]GraphForecaster.transfer_batch_to_device,0.05645,206,0.00027,LightningModule
10,[LightningModule]GraphForecaster.on_validation_model_eval,0.00163,1,0.00163,LightningModule
4,[LightningModule]GraphForecaster.configure_optimizers,0.00078,1,0.00078,LightningModule
64,[LightningDataModule]AnemoiDatasetsDataModule.teardown,0.0,1,0.0,LightningDataModule
57,[LightningDataModule]AnemoiDatasetsDataModule.state_dict,1e-05,4,0.0,LightningDataModule
0,[LightningDataModule]AnemoiDatasetsDataModule.setup,1e-05,1,1e-05,LightningDataModule
29,[LightningDataModule]AnemoiDatasetsDataModule.train_dataloader,0.00052,1,0.00052,LightningDataModule
9,[LightningDataModule]AnemoiDatasetsDataModule.val_dataloader,0.26678,1,0.26678,LightningDataModule
0,*Callback_AnemoiCheckpoint,18.95132,2460,18.68663,*Callback_AnemoiCheckpoint
